contract_id,brand,model,year,power,fuel_type,current_value,color,usage,previous_claims
CTR_000003,BMW,Serie1,2022.0,128 HP,Gasoline,29567.77€,Gray,Mixed,0.0
CTR_000005,Renault,Megane,2024.0,150 HP,Hybrid,14873.92€,Black,Personal,0.0
CTR_000012,Peugeot,208,2020.0,175,Hybrid,$8362.30,White,Professional,2.0
CTR_000015,Renault,Captur,2024.0,,Electric,14849.30€,,Mixed,1.0
CTR_000016,Renault,Megane,,176hp,Gasoline,€14522.08,Blue,Personal,1.0
CTR_000018,Renault,Megane,2018.0,122 kW,Diesel,5563.73€,Blue,Personal,
CTR_000019,Mercedes,ClasseA,2022.0,106 CV,Electric,27063.05 euros,Black,Professional,3.0
CTR_000022,Renault,Captur,2012.0,183hp,Hybrid,€5771.16,Black,Personal,1.0
CTR_000023,Renault,Clio,2016.0,120 HP,Hybrid,5183.74€,White,Mixed,2.0
CTR_000024,Renault,Megane,2024.0,,Electric,15717.85€,White,Personal,1.0
CTR_000026,Peugeot,308,2024.0,85 kW,Hybrid,14083.82€,Gray,Personal,
CTR_000029,Peugeot,3008,2021.0,99,Hybrid,9184.95€,White,Mixed,0.0
CTR_000031,Renault,Captur,2010.0,,Diesel,€5874.58,Gray,Mixed,1.0
CTR_000032,Renault,Megane,2023.0,,Hybrid,12920.99€,Blue,Professional,1.0
CTR_000035,Peugeot,3008,2012.0,183hp,Electric,4635.47€,Black,Professional,0.0
CTR_000040,BMW,Serie1,2022.0,,Gasoline,22154.16€,White,Professional,
CTR_000041,Volkswagen,Polo,2011.0,192hp,Gasoline,€4868.71,Red,Mixed,0.0
CTR_000043,Peugeot,308,2021.0,118 CV,Diesel,10940.48€,Black,Mixed,0.0
CTR_000045,Renault,Megane,2024.0,139 HP,Gasoline,12608.02€,White,Professional,1.0
CTR_000046,Volkswagen,Golf,2022.0,160 HP,Gasoline,17390.55€,White,Professional,2.0
CTR_000047,Renault,Captur,2018.0,,Hybrid,4323.29€,Blue,Mixed,2.0
CTR_000048,Peugeot,3008,2020.0,138 CV,Gasoline,6645.39€,Black,Professional,3.0
CTR_000054,Renault,Megane,2019.0,97 CV,Electric,€5836.75,Red,Personal,1.0
CTR_000056,BMW,Serie1,2024.0,130 kW,Gasoline,39264.93€,Red,Personal,0.0
CTR_000057,Peugeot,308,2018.0,98 CV,Gasoline,5560.11€,,Mixed,1.0
CTR_000060,Volkswagen,Polo,2019.0,,Diesel,8139.55€,Red,Mixed,0.0
CTR_000061,Peugeot,208,2024.0,80 kW,Electric,15832.15€,Blue,Personal,0.0
CTR_000064,Volkswagen,Golf,2022.0,200 CV,Diesel,13729.85€,Red,Mixed,1.0
CTR_000066,Renault,Clio,,128 CV,Electric,5102.44 euros,White,Mixed,2.0
CTR_000070,Renault,Captur,2024.0,108 kW,Gasoline,12363.13€,Black,Professional,1.0
CTR_000074,Volkswagen,Polo,2023.0,142,Electric,20615.64€,Red,Mixed,0.0
CTR_000078,Renault,Captur,2018.0,117hp,Diesel,5356.11 EUR,Gray,Professional,0.0
CTR_000080,Mercedes,ClasseA,2024.0,173,Gasoline,41034.30€,Blue,Personal,0.0
CTR_000087,Renault,Clio,2012.0,,Hybrid,4494.28 euros,Black,Professional,2.0
CTR_000103,Volkswagen,Polo,2015.0,159 CV,Gasoline,€4817.96,Blue,Professional,1.0
CTR_000107,Volkswagen,Golf,2019.0,163 CV,Hybrid,8896.69€,Black,Mixed,3.0
CTR_000111,Peugeot,308,2018.0,100,Gasoline,$4926.70,Red,Mixed,
CTR_000113,BMW,Serie1,,133hp,Electric,11921.60€,Red,Mixed,0.0
CTR_000115,Renault,Captur,2021.0,116 CV,Diesel,8269.56€,Blue,Professional,3.0
CTR_000117,Peugeot,208,2021.0,119,Hybrid,10730.77€,Red,Personal,3.0
CTR_000118,Volkswagen,Polo,,99,Hybrid,11993.76€,White,Professional,0.0
CTR_000120,Peugeot,308,2020.0,189 CV,Gasoline,7532.81€,White,Mixed,0.0
CTR_000122,Renault,Megane,2020.0,110,Electric,8099.02€,Red,Personal,1.0
CTR_000127,Volkswagen,Polo,2017.0,141hp,Diesel,4664.45€,Blue,Professional,0.0
CTR_000129,Peugeot,208,2024.0,199 HP,Electric,€15052.74,Blue,Personal,1.0
CTR_000131,Renault,Megane,2020.0,73 kW,Diesel,5882.78€,White,Personal,0.0
CTR_000137,Renault,Megane,2020.0,192 HP,Diesel,7897.33€,White,Personal,0.0
CTR_000138,Volkswagen,Tiguan,2020.0,162hp,Hybrid,11309.84 EUR,White,Professional,2.0
CTR_000141,Peugeot,308,2022.0,115 kW,Gasoline,9576.93€,Blue,Personal,2.0
CTR_000142,Volkswagen,Polo,2021.0,,Electric,12077.08€,Red,Mixed,0.0
